network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Lateral Root Density,E0207,ATE2F2,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0208,TrfA treatment,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0209,Para-aminobenzoic ac,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0210,(-) AuNPs,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0211,CLE7P,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0212,ATSAUR15,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0213,ATEXP17,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0214,WRKY75,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0215,hypoxic niches,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0216,KRP2,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0217,Gold nanoparticles,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0218,BL,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0219,ACO1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0220,respiratory burst ox,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0221,Col-0 Seedlings,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0222,increasing concentra,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0223,ZN,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0224,CAMTA1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0225,increased nitrate av,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0226,Cortical microtubule,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0227,Exogenous sugar,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0228,JA,HORMONE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0229,lacs4-7 lacs6,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0230,P deficiency,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0231,TRI2,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0232,GLR3,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0233,PIN3,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0234,low levels of Tm,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0235,Pi status,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0236,ICPK,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0237,GNR1,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0238,D14,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0239,Low external Phospha,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0240,high nitrate,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0241,P-starvation,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0242,SIRTINOL,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0243,Overexpression of Cq,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0244,WOX5,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0245,K+-deprivation,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0246,Cyanodermella asteri,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0247,T. virens,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0248,NAC1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0249,UCMB5113,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0250,SAK1019,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0251,ARP4,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0252,ATNADP-ME1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0253,"2,4-dichlorophenoxy-",GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0254,MIR160,REGULATORY_RNA,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0255,LRS1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0256,ATSGT1B,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0257,3-(Methoxycarbonylme,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
